Date,Height,Weight,BMI
2021-02-26,1.72,89.1,30.12
2021-03-01,1.72,89.2,30.15
2021-03-02,1.72,89.0,30.08
2021-03-04,1.72,88.7,29.98
2021-03-05,1.72,88.0,29.75
2021-03-07,1.72,88.1,29.78
2021-03-08,1.72,87.5,29.58
2021-03-10,1.72,87.1,29.44
2021-03-11,1.72,87.8,29.68
2021-03-13,1.72,86.6,29.27
2021-03-14,1.72,87.7,29.64
2021-03-15,1.72,87.1,29.44
2021-03-17,1.72,87.1,29.44
2021-03-19,1.72,86.6,29.27
2021-03-24,1.72,86.7,29.31
2021-03-25,1.72,86.3,29.17
2021-03-29,1.72,86.5,29.24
2021-03-30,1.72,86.6,29.27
2021-04-02,1.72,85.9,29.04
2021-04-03,1.72,86.1,29.1
2021-04-07,1.72,86.7,29.31
2021-04-09,1.72,86.2,29.14
2021-04-10,1.72,85.9,29.04
2021-04-13,1.72,85.6,28.93
2021-04-14,1.72,85.8,29.0
2021-04-19,1.72,86.0,29.07
2021-04-22,1.72,85.3,28.83
2021-04-23,1.72,84.7,28.63
2021-04-27,1.72,85.5,28.9
2021-04-28,1.72,84.8,28.66
2021-05-04,1.72,84.4,28.53
2021-05-07,1.72,84.7,28.63
2021-05-11,1.72,84.3,28.5
2021-05-12,1.72,83.6,28.26
2021-05-15,1.72,82.5,27.89
2021-05-17,1.72,82.7,27.95
2021-05-19,1.72,83.1,28.09
2021-05-24,1.72,81.9,27.68
2021-05-27,1.72,81.3,27.48
2021-05-29,1.72,81.7,27.62
2021-05-31,1.72,81.8,27.65
2021-06-01,1.72,82.4,27.85
